Hora	Eólica	Nuclear	Fuel/gas	Carbón	Ciclo combinado	Hidráulica	Intercambios int	Enlace balear	Solar fotovoltaica	Solar térmica	Térmica renovable	Cogeneración y residuos
2024-05-24 05:10	6376	4052	0	247	2172	4352	1696	-102	0	215	518	1914
2024-05-24 05:15	6321	4055	0	248	2130	4280	1704	-102	0	202	518	1913
2024-05-24 05:20	6301	4053	0	248	2147	4294	1816	-102	0	214	518	1909
2024-05-24 05:25	6216	4055	0	247	2211	4443	1778	-101	0	214	518	1911
2024-05-24 05:30	6194	4058	0	249	2309	4455	1724	-102	0	214	518	1913
2024-05-24 05:35	6147	4059	0	248	2379	4675	1663	-102	0	213	518	1917
2024-05-24 05:40	6111	4052	0	248	2391	4740	1643	-102	0	213	518	1915
2024-05-24 05:45	6042	4055	0	248	2461	4815	1672	-102	0	214	518	1921
2024-05-24 05:50	5980	4056	0	248	2631	4820	1609	-102	0	214	518	1884
2024-05-24 05:55	5919	4057	0	248	2819	4808	1507	-102	0	214	518	1928
2024-05-24 06:00	5862	4051	0	248	2866	4989	1684	-126	0	214	518	1939
2024-05-24 06:05	5782	4052	0	248	2885	5317	1851	-151	0	213	520	1940
2024-05-24 06:10	5752	4052	0	248	2865	5561	1913	-177	0	212	520	1901
2024-05-24 06:15	5724	4056	0	249	2848	5846	1923	-179	0	212	520	1940
2024-05-24 06:20	5707	4054	0	248	2749	5875	1925	-179	0	212	520	1942
2024-05-24 06:25	5693	4053	0	249	2681	6007	1904	-179	0	212	520	1900
2024-05-24 06:30	5647	4055	0	248	2694	6073	2209	-179	0	212	520	1903
2024-05-24 06:35	5588	4057	0	248	2853	6336	2084	-179	0	211	520	1941
2024-05-24 06:40	5521	4050	0	248	2905	6534	1988	-179	0	210	520	1942
2024-05-24 06:45	5479	4050	0	248	2889	6631	1929	-179	0	209	520	1944
2024-05-24 06:50	5439	4049	0	248	3066	6718	1972	-179	132	210	520	1946
2024-05-24 06:55	5426	4053	0	248	3176	6924	1866	-179	157	208	520	1953
2024-05-24 07:00	5367	4054	0	249	3347	7099	1611	-189	193	188	520	1952
2024-05-24 07:05	5317	4053	0	248	3419	7057	2171	-196	259	191	499	1948
2024-05-24 07:10	5261	4050	0	250	3517	7169	2167	-196	355	186	499	1971
2024-05-24 07:15	5205	4052	0	246	3498	7545	1937	-196	505	174	499	1938
2024-05-24 07:20	5177	4052	0	249	3424	7628	2111	-196	700	169	499	1974
2024-05-24 07:25	5129	4056	0	249	3383	7604	2037	-196	954	166	499	1972
2024-05-24 07:30	5050	4056	0	250	3351	7561	1934	-196	1234	165	499	1967
2024-05-24 07:35	4920	4055	0	248	3346	7551	1991	-196	1606	164	499	1925
2024-05-24 07:40	4808	4051	0	249	3328	7434	2080	-196	2014	165	499	1965
2024-05-24 07:45	4694	4051	0	249	3296	7071	2226	-196	2486	164	499	1967
2024-05-24 07:50	4558	4052	0	249	3348	7068	1784	-196	2996	164	499	1968
2024-05-24 07:55	4450	4054	0	248	3318	6699	1569	-196	3549	164	499	1967
2024-05-24 08:00	4358	4056	0	248	3353	6846	1149	-220	4132	163	499	1968
2024-05-24 08:05	4273	4052	0	248	3392	7549	338	-244	4782	164	494	1968
2024-05-24 08:10	4121	4053	0	247	3376	7748	-211	-244	5359	165	494	1969
2024-05-24 08:15	3997	4057	0	249	3357	7749	-588	-243	5963	165	494	1925
2024-05-24 08:20	3898	4053	0	249	3230	7555	-902	-243	6670	162	494	1959
2024-05-24 08:25	3775	4055	0	248	3093	6974	-665	-243	7314	160	494	1960
2024-05-24 08:30	3629	4055	0	249	2996	6551	-585	-244	8011	160	494	1961
2024-05-24 08:35	3538	4058	0	250	2997	6051	-669	-244	8738	162	494	1925
2024-05-24 08:40	3405	4056	0	249	2968	5458	-637	-244	9371	173	494	1962
2024-05-24 08:45	3342	4055	0	249	2977	4926	-665	-244	9983	197	494	1963
2024-05-24 08:50	3272	4056	0	249	2968	4261	-503	-243	10464	235	494	1963
2024-05-24 08:55	3185	4056	0	249	2961	3826	-731	-244	11077	306	494	1927
2024-05-24 09:00	2996	4056	0	249	2989	3830	-1046	-224	11670	376	494	1964
2024-05-24 09:05	2990	4051	0	249	2324	4179	-1525	-205	12432	461	457	1960
2024-05-24 09:10	2926	4055	0	249	1979	4302	-1887	-204	12967	610	457	1957
2024-05-24 09:15	2874	4063	0	252	1672	4149	-2126	-204	13430	772	455	1949
2024-05-24 09:20	2809	4055	0	249	1542	3697	-2173	-204	13912	904	455	1954
2024-05-24 09:25	2731	4055	0	250	1444	3317	-2035	-204	14312	1017	455	1952
2024-05-24 09:30	2673	4052	0	250	1370	2978	-1677	-204	14405	1151	456	1950
2024-05-24 09:35	2613	4051	0	250	1372	2941	-2025	-204	14663	1274	457	1949
2024-05-24 09:40	2383	4053	0	250	1386	2866	-2034	-204	14929	1384	457	1950
2024-05-24 09:45	2346	4049	0	250	1335	2494	-2050	-204	15170	1486	457	1945
2024-05-24 09:50	2335	4053	0	250	1253	2702	-1540	-205	14424	1558	457	1949
2024-05-24 09:55	2249	4051	0	250	1264	2627	-1703	-204	14717	1619	457	1902
2024-05-24 10:00	2151	4057	0	251	1240	2697	-2069	-190	15005	1678	457	1907
2024-05-24 10:05	2113	4052	0	249	1255	2350	-2967	-179	16046	1700	461	1891
2024-05-24 10:10	2019	4050	0	250	1220	2211	-2680	-179	16320	1709	461	1915
2024-05-24 10:15	1940	4051	0	250	1189	2113	-2694	-179	16430	1717	461	1867
2024-05-24 10:20	1856	4059	0	250	1209	1934	-2785	-179	16768	1730	461	1865
2024-05-24 10:25	1792	4049	0	250	1205	1892	-2944	-179	16852	1751	461	1906
2024-05-24 10:30	1747	4055	0	250	1170	1658	-2747	-179	16969	1757	461	1905
2024-05-24 10:35	1706	4052	0	250	1179	1632	-3051	-179	17257	1771	461	1905
2024-05-24 10:40	1666	4056	0	252	1155	1600	-2789	-179	17278	1781	461	1867
2024-05-24 10:45	1613	4055	0	251	1099	1505	-2711	-179	17247	1792	461	1906
2024-05-24 10:50	1566	4056	0	249	1066	1427	-2751	-179	17320	1806	461	1911
2024-05-24 10:55	1530	4055	0	252	1039	1068	-2652	-179	17418	1817	461	1907
2024-05-24 11:00	1500	4054	0	250	1050	1108	-2578	-155	17545	1830	461	1900
2024-05-24 11:05	1544	4052	0	250	1028	789	-2607	-130	17938	1838	451	1883
2024-05-24 11:10	1507	4058	0	250	1022	862	-2724	-123	18067	1799	451	1882
